"Base", "Evolution 1", "Evolution 2"
bulbasaur, ivysaur, venusaur 
charmander, charmeleon, charizard 
squirtle, wartortle, blastoise 
caterpie, metapod, butterfree 
weedle, kakuna, beedrill 
pidgey, pidgeotto, pidgeot 
rattata, raticate 
spearow, fearow 
ekans, arbok 
pichu, pikachu, raichu 
sandshrew, sandslash 
nidoran-f, nidorina, nidoqueen 
nidoran-m, nidorino, nidoking 
cleffa, clefairy, clefable 
vulpix, ninetales 
igglybuff, jigglypuff, wigglytuff 
zubat, golbat, crobat 
oddish, gloom, vileplume 
paras, parasect 
venonat, venomoth 
diglett, dugtrio 
meowth, persian 
psyduck, golduck 
mankey, primeape, annihilape 
growlithe, arcanine 
poliwag, poliwhirl, poliwrath 
abra, kadabra, alakazam 
machop, machoke, machamp 
bellsprout, weepinbell, victreebel 
tentacool, tentacruel 
geodude, graveler, golem 
ponyta, rapidash 
slowpoke, slowbro 
magnemite, magneton, magnezone 
farfetchd, sirfetchd 
doduo, dodrio 
seel, dewgong 
grimer, muk 
shellder, cloyster 
gastly, haunter, gengar 
onix, steelix 
drowzee, hypno 
krabby, kingler 
voltorb, electrode 
exeggcute, exeggutor 
cubone, marowak 
tyrogue, hitmonlee 
lickitung, lickilicky 
koffing, weezing 
rhyhorn, rhydon, rhyperior 
happiny, chansey, blissey 
tangela, tangrowth 
kangaskhan, None 
horsea, seadra, kingdra 
goldeen, seaking 
staryu, starmie 
mime-jr, mr-mime, mr-rime 
scyther, scizor 
smoochum, jynx 
elekid, electabuzz, electivire 
magby, magmar, magmortar 
pinsir, None 
tauros, None 
magikarp, gyarados 
lapras, None 
ditto, None 
eevee, vaporeon, jolteon, flareon 
porygon, porygon2, porygon-z 
omanyte, omastar 
kabuto, kabutops 
aerodactyl, None 
munchlax, snorlax 
articuno, None 
zapdos, None 
moltres, None 
dratini, dragonair, dragonite 
