pound,100,physical,40,35,damage,normal,"Pounds with fore­legs or tail."
karate-chop,100,physical,50,25,damage,fighting,"Has a high criti­cal hit ratio."
double-slap,85,physical,15,10,damage,normal,"Repeatedly slaps2-5 times."
comet-punch,85,physical,18,15,damage,normal,"Repeatedly punches2-5 times."
mega-punch,85,physical,80,20,damage,normal,"A powerful punchthrown very hard."
pay-day,100,physical,40,20,damage,normal,"Throws coins. Getsthem back later."
fire-punch,100,physical,75,15,damage+ailment,fire,"A fiery punch. Maycause a burn."
ice-punch,100,physical,75,15,damage+ailment,ice,"An icy punch. Maycause freezing."
thunder-punch,100,physical,75,15,damage+ailment,electric,"An electric punch.It may paralyze."
scratch,100,physical,40,35,damage,normal,"Scratches withsharp claws."
vice-grip,100,physical,55,30,damage,normal,"Grips with power­ful pincers."
guillotine,30,physical,None,5,ohko,normal,"A one-hit KO,pincer attack."
razor-wind,100,special,80,10,damage,normal,"1st turn: Prepare2nd turn: Attack"
swords-dance,None,status,None,20,net-good-stats,normal,"A dance that in­creases ATTACK."
cut,95,physical,50,30,damage,normal,"Cuts using claws,scythes, etc."
gust,100,special,40,35,damage,flying,"Whips up a stronggust of wind."
wing-attack,100,physical,60,35,damage,flying,"Strikes the targetwith wings."
whirlwind,None,status,None,20,force-switch,normal,"Blows away the foe& ends battle."
fly,95,physical,90,15,damage,flying,"1st turn: Fly2nd turn: Attack"
bind,85,physical,15,20,damage+ailment,normal,"Binds the targetfor 2-5 turns."
slam,75,physical,80,20,damage,normal,"Slams the foe witha tail, vine, etc."
vine-whip,100,physical,45,25,damage,grass,"Whips the foe withslender vines."
stomp,100,physical,65,20,damage,normal,"An attack that maycause flinching."
double-kick,100,physical,30,30,damage,fighting,"A double kickingattack."
mega-kick,75,physical,120,5,damage,normal,"A powerful kickingattack."
jump-kick,95,physical,100,10,damage,fighting,"May miss, damagingthe user."
rolling-kick,85,physical,60,15,damage,fighting,"A fast, spinningkick."
sand-attack,100,status,None,15,net-good-stats,ground,"Reduces accuracyby throwing sand."
headbutt,100,physical,70,15,damage,normal,"An attack that maymake foe flinch."
horn-attack,100,physical,65,25,damage,normal,"An attack using ahorn to jab."
fury-attack,85,physical,15,20,damage,normal,"Jabs the target2-5 times."
horn-drill,30,physical,None,5,ohko,normal,"A one-hit KO,drill attack."
tackle,100,physical,40,35,damage,normal,"A full-body chargeattack."
body-slam,100,physical,85,15,damage+ailment,normal,"An attack that maycause paralysis."
wrap,90,physical,15,20,damage+ailment,normal,"Squeezes the foefor 2-5 turns."
take-down,85,physical,90,20,damage,normal,"A tackle that alsohurts the user."
thrash,100,physical,120,10,damage,normal,"Works 2-3 turnsand confuses user."
double-edge,100,physical,120,15,damage,normal,"A tackle that alsohurts the user."
tail-whip,100,status,None,30,net-good-stats,normal,"Lowers the foe'sDEFENSE."
poison-sting,100,physical,15,35,damage+ailment,poison,"An attack that maypoison the target."
twineedle,100,physical,25,20,damage+ailment,bug,"Jabs the foe twiceusing stingers."
pin-missile,95,physical,25,20,damage,bug,"Fires pins thatstrike 2-5 times."
leer,100,status,None,30,net-good-stats,normal,"Reduces the foe'sDEFENSE."
bite,100,physical,60,25,damage,dark,"An attack that maycause flinching."
growl,100,status,None,40,net-good-stats,normal,"Reduces the foe'sATTACK."
roar,None,status,None,20,force-switch,normal,"Scares wild foesto end battle."
sing,55,status,None,15,ailment,normal,"May cause the foeto fall asleep."
supersonic,55,status,None,20,ailment,normal,"Sound waves thatcause confusion."
sonic-boom,90,special,None,20,damage,normal,"Always inflicts20HP damage."
disable,100,status,None,20,unique,normal,"For four turns, this move prevents the target fromusing the move it last used."
acid,100,special,40,30,damage+lower,poison,"An attack that maylower DEFENSE."
ember,100,special,40,25,damage+ailment,fire,"An attack that mayinflict a burn."
flamethrower,100,special,90,15,damage+ailment,fire,"An attack that mayinflict a burn."
mist,None,status,None,30,field-effect,ice,"Prevents statreduction."
water-gun,100,special,40,25,damage,water,"Squirts water toattack."
hydro-pump,80,special,110,5,damage,water,"A powerful water-type attack."
surf,100,special,90,15,damage,water,"A strong water-type attack."
ice-beam,100,special,90,10,damage+ailment,ice,"An attack that mayfreeze the foe."
blizzard,70,special,110,5,damage+ailment,ice,"An attack that mayfreeze the foe."
psybeam,100,special,65,20,damage+ailment,psychic,"An attack that mayconfuse the foe."
bubble-beam,100,special,65,20,damage+lower,water,"An attack that maylower SPEED."
aurora-beam,100,special,65,20,damage+lower,ice,"An attack that maylower ATTACK."
hyper-beam,90,special,150,5,damage,normal,"1st turn: Attack2nd turn: Rest"
peck,100,physical,35,35,damage,flying,"Ensarta al objetivo con un cuerno o pico punzante. "
drill-peck,100,physical,80,20,damage,flying,"A strong, spin­ning-peck attack."
submission,80,physical,80,20,damage,fighting,"An attack that al­so hurts the user."
low-kick,100,physical,None,20,damage,fighting,"An attack that maycause flinching."
counter,100,physical,None,20,damage,fighting,"Returns a physicalblow double."
seismic-toss,100,physical,None,20,damage,fighting,"The user's levelequals damage HP."
strength,100,physical,80,15,damage,normal,"こん身の　力で相手を　なぐりつけて　攻撃する。"
absorb,100,special,20,25,damage+heal,grass,"Steals 1/2 of thedamage inflicted."
mega-drain,100,special,40,15,damage+heal,grass,"Steals 1/2 of thedamage inflicted."
leech-seed,90,status,None,10,ailment,grass,"Steals HP from thefoe on every turn."
growth,None,status,None,20,net-good-stats,normal,"Raises the SPCL.ATK rating."
razor-leaf,95,physical,55,25,damage,grass,"Has a high criti­cal hit ratio."
solar-beam,100,special,120,10,damage,grass,"1st turn: Prepare2nd turn: Attack"
poison-powder,75,status,None,35,ailment,poison,"A move that maypoison the foe."
stun-spore,75,status,None,30,ailment,grass,"A move that mayparalyze the foe."
sleep-powder,75,status,None,15,ailment,grass,"May cause the foeto fall asleep."
petal-dance,100,special,120,10,damage,grass,"Works 2-3 turnsand confuses user."
string-shot,95,status,None,40,net-good-stats,bug,"A move that lowersthe foe's SPEED."
dragon-rage,100,special,None,10,damage,dragon,"Always inflicts40HP damage."
fire-spin,85,special,35,15,damage+ailment,fire,"Traps foe in firefor 2-5 turns."
thunder-shock,100,special,40,30,damage+ailment,electric,"An attack that maycause paralysis."
thunderbolt,100,special,90,15,damage+ailment,electric,"An attack that maycause paralysis."
thunder-wave,90,status,None,20,ailment,electric,"A move that maycause paralysis."
thunder,70,special,110,10,damage+ailment,electric,"An attack that maycause paralysis."
rock-throw,90,physical,50,15,damage,rock,"Drops rocks on theenemy."
earthquake,100,physical,100,10,damage,ground,"Tough but uselessvs. flying foes."
fissure,30,physical,None,5,ohko,ground,"A ground-type,one-hit KO attack."
dig,100,physical,80,10,damage,ground,"Digs underground the firstturn and strikes next turn."
toxic,90,status,None,10,ailment,poison,"A poison move withincreasing damage."
confusion,100,special,50,25,damage+ailment,psychic,"An attack that maycause confusion."
psychic,100,special,90,10,damage+lower,psychic,"An attack that maylower SPCL.DEF."
hypnosis,60,status,None,20,ailment,psychic,"May put the foe tosleep."
meditate,None,status,None,40,net-good-stats,psychic,"Raises the user'sATTACK."
agility,None,status,None,30,net-good-stats,psychic,"Sharply increasesthe user's SPEED."
quick-attack,100,physical,40,30,damage,normal,"Lets the user getin the first hit."
rage,100,physical,20,20,damage,normal,"Raises ATTACK ifthe user is hit."
teleport,None,status,None,20,unique,psychic,"A move for fleeingfrom battle."
night-shade,100,special,None,15,damage,ghost,"The user's levelequals damage HP."
mimic,None,status,None,10,unique,normal,"Copies a move usedby the foe."
screech,85,status,None,40,net-good-stats,normal,"An earsplitting screech harshly lowersthe target’s Defense stat."
double-team,None,status,None,15,net-good-stats,normal,"Heightens evasive­ness."
recover,None,status,None,10,heal,normal,"Restores HP by 1/2the max HP."
harden,None,status,None,30,net-good-stats,normal,"Raises the user'sDEFENSE."
minimize,None,status,None,10,net-good-stats,normal,"Heightens evasive­ness."
smokescreen,100,status,None,20,net-good-stats,normal,"Lowers the foe'saccuracy."
confuse-ray,100,status,None,10,ailment,ghost,"A move that causesconfusion."
withdraw,None,status,None,40,net-good-stats,water,"Heightens theuser's DEFENSE."
defense-curl,None,status,None,40,net-good-stats,normal,"Heightens theuser's DEFENSE."
barrier,None,status,None,20,net-good-stats,psychic,"Sharply increasesuser's DEFENSE."
light-screen,None,status,None,30,field-effect,psychic,"Ups SPCL.DEF witha wall of light."
haze,None,status,None,30,whole-field-effect,ice,"Eliminates allstat changes."
reflect,None,status,None,20,field-effect,psychic,"Raises DEFENSEwith a barrier."
focus-energy,None,status,None,30,unique,normal,"Raises the criti­cal hit ratio."
bide,None,physical,None,10,damage,normal,"Waits 2-3 turns &hits back double."
metronome,None,status,None,10,unique,normal,"Randomly uses anyPOKéMON move."
mirror-move,None,status,None,20,unique,flying,"Counters with thesame move."
self-destruct,100,physical,200,5,damage,normal,"Powerful but makesthe user faint."
egg-bomb,75,physical,100,10,damage,normal,"Eggs are hurled atthe foe."
lick,100,physical,30,30,damage+ailment,ghost,"An attack that maycause paralysis."
smog,70,special,30,20,damage+ailment,poison,"An attack that maypoison the foe."
sludge,100,special,65,20,damage+ailment,poison,"An attack that maypoison the foe."
bone-club,85,physical,65,20,damage,ground,"An attack that maycause flinching."
fire-blast,85,special,110,5,damage+ailment,fire,"An attack thatmay cause a burn."
waterfall,100,physical,80,15,damage,water,"An aquatic chargeattack."
clamp,85,physical,35,15,damage+ailment,water,"Traps the foe for2-5 turns."
swift,None,special,60,20,damage,normal,"An attack thatnever misses."
skull-bash,100,physical,130,10,damage,normal,"1st turn: Prepare2nd turn: Attack"
spike-cannon,100,physical,20,15,damage,normal,"Fires spikes tohit 2-5 times."
constrict,100,physical,10,35,damage+lower,normal,"An attack that maylower SPEED."
amnesia,None,status,None,20,net-good-stats,psychic,"Forgets about somethingand sharply raises SP. DEF."
kinesis,80,status,None,15,net-good-stats,psychic,"Reduces the foe'saccuracy."
soft-boiled,None,status,None,10,heal,normal,"Restores HP by 1/2the user's max HP."
high-jump-kick,90,physical,130,10,damage,fighting,"May miss and hurtthe user."
glare,100,status,None,30,ailment,normal,"A move that maycause paralysis."
dream-eater,100,special,100,15,damage+heal,psychic,"Steals HP from asleeping victim."
poison-gas,90,status,None,40,ailment,poison,"A move that maypoison the foe."
barrage,85,physical,15,20,damage,normal,"Throws orbs to hit2-5 times."
leech-life,100,physical,80,10,damage+heal,bug,"Steals 1/2 of thedamage inflicted."
lovely-kiss,75,status,None,10,ailment,normal,"May cause the foeto fall asleep."
sky-attack,90,physical,140,5,damage,flying,"1st turn: Prepare2nd turn: Attack"
transform,None,status,None,10,unique,normal,"The user assumesthe foe's guise."
bubble,100,special,40,30,damage+lower,water,"An attack that mayreduce SPEED."
dizzy-punch,100,physical,70,10,damage+ailment,normal,"An attack that maycause confusion."
spore,100,status,None,15,ailment,grass,"A move thatinduces sleep."
flash,100,status,None,20,net-good-stats,normal,"Blinds the foe toreduce accuracy."
psywave,100,special,None,15,damage,psychic,"An attack withvariable power."
splash,None,status,None,40,unique,normal,"Has no effectwhatsoever."
acid-armor,None,status,None,20,net-good-stats,poison,"Sharply raises theuser's DEFENSE."
crabhammer,90,physical,100,10,damage,water,"Has a high criti­cal hit ratio."
explosion,100,physical,250,5,damage,normal,"Inflicts severe damage butmakes the user faint."
fury-swipes,80,physical,18,15,damage,normal,"Quickly scratches2-5 times."
bonemerang,90,physical,50,10,damage,ground,"An attack thatstrikes twice."
rest,None,status,None,10,unique,psychic,"Sleep for 2 turnsto fully recover."
rock-slide,90,physical,75,10,damage,rock,"An attack that maycause flinching."
hyper-fang,90,physical,80,15,damage,normal,"An attack that maycause flinching."
sharpen,None,status,None,30,net-good-stats,normal,"Reduces the polygon countand raises ATTACK."
conversion,None,status,None,30,unique,normal,"Change user's typeto a move's type."
tri-attack,100,special,80,10,damage+ailment,normal,"Fires three kindsof beams at once."
super-fang,90,physical,None,10,damage,normal,"Cuts the foe's HPby 1/2."
slash,100,physical,70,20,damage,normal,"Has a high criti­cal hit ratio."
substitute,None,status,None,10,unique,normal,"Makes a decoy with1/4 user's max HP."
struggle,None,physical,50,1,damage,normal,"Used only if allPP are exhausted."
sketch,None,status,None,1,unique,normal,"Copies the foe'smove permanently."
triple-kick,90,physical,10,10,damage,fighting,"Hits three timeswith rising power."
thief,100,physical,60,25,damage,dark,"An attack that maysteal a held item."
spider-web,None,status,None,10,unique,bug,"Prevents fleeingor switching."
