"name","desc","hp","ap","df","sa","sd","sp","type1","type2","weight","height","moves","sprite"
"bulbasaur","A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON.","45","49","49","65","65","45","grass","poison","69","7","['swords-dance', 'cut', 'vine-whip', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png"
"ivysaur","When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs.","60","62","63","80","80","60","grass","poison","130","10","['swords-dance', 'cut', 'vine-whip', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png"
"venusaur","The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.","80","82","83","100","100","80","grass","poison","1000","20","['swords-dance', 'cut', 'vine-whip', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'hyper-beam', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png"
"charmander","Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail.","39","52","43","60","50","65","fire","None","85","6","['mega-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png"
"charmeleon","When it swings its burning tail, it elevates thetemperature to unbearably high levels.","58","64","58","80","65","80","fire","None","190","11","['mega-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png"
"charizard","Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.","78","84","78","109","85","100","fire","flying","905","17","['mega-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'ember', 'flamethrower', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png"
"squirtle","After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth.","44","48","65","50","64","43","water","None","90","5","['mega-punch', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'reflect', 'bide', 'skull-bash', 'bubble', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png"
"wartortle","Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance.","59","63","80","65","80","58","water","None","225","10","['mega-punch', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'reflect', 'bide', 'skull-bash', 'bubble', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png"
"blastoise","A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles.","79","83","100","85","105","78","water","None","855","16","['mega-punch', 'mega-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'reflect', 'bide', 'skull-bash', 'bubble', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png"
"caterpie","Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.","45","30","35","20","20","45","bug","None","29","3","['tackle', 'string-shot']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png"
